key_1453364202 value_181834033
key_1763351876 value_1921924920
key_695657247 value_176692729
key_1934524826 value_1818816465
key_1737898484 value_1673743153
key_306453807 value_1820949173
key_811951264 value_817168390
key_54037073 value_796300687
key_1063407031 value_722813405
key_50672764 value_1508658237
key_1433066881 value_1227102407
key_1776987208 value_273022281
key_467745736 value_777151736
key_1102535958 value_1570923919
key_1206726002 value_82432591
key_1947961007 value_512606556
key_264266625 value_1563829235
key_287047829 value_959923872
key_1740521964 value_74089007
key_631256689 value_1330936800
key_1747832160 value_937710497
key_1004402326 value_412299776
key_1754878887 value_1058439399
key_1208600463 value_670802270
key_1781252804 value_1259273228
key_31976860 value_1066836038
key_338891987 value_1808964068
key_1339858319 value_806637724
key_438632156 value_294910629
key_230077995 value_1645358158
key_377343221 value_30555355
key_10481067 value_641609846
key_1594384590 value_297528896
key_1601533718 value_1187422907
key_371617903 value_85306759
key_370876059 value_2119450063
key_1023017256 value_1375278385
key_384266191 value_630412496
key_286234137 value_1592866654
key_1301214766 value_2067486941
key_704656234 value_1333191626
key_986839331 value_1043548222
key_994672046 value_179214002
key_1850185946 value_1433304203
key_474124632 value_2080263941
key_931178713 value_851467853
key_2110819296 value_941659780
key_1493077699 value_1557720239
key_1239188676 value_947127769
key_597659498 value_1610806579
key_1032434528 value_968535557
key_1582772994 value_2055451785
key_196330295 value_1967039185
key_538380633 value_482564432
key_1412422192 value_1839595399
key_402567725 value_2117078426
key_1025303378 value_1389407057
key_1013143000 value_2019975424
key_1568621059 value_715845298
key_1305795979 value_2042745691
key_648625592 value_89491045
key_746729896 value_611961240
key_1031150825 value_92323947
key_22197831 value_122855854
key_1039451716 value_619857329
key_1733662433 value_2071886245
key_1588392887 value_1168951780
key_1979854382 value_1784723182
key_988507317 value_370751367
key_119803966 value_253445861
key_62863118 value_522371691
key_223040640 value_1088166496
key_1911778748 value_1236183640
key_960658273 value_1332916160
key_1952028939 value_118970604
key_1228178203 value_453170883
key_208461649 value_1974908100
key_1065132123 value_1239612475
key_2067232047 value_1087329955
key_1362468329 value_959200116
key_1707187284 value_948647114
key_883602713 value_1148096523
key_2117598894 value_715973447
key_785336057 value_958622564
key_1086724814 value_905140023
key_1212068425 value_1149587932
key_1427511715 value_1435109065
key_90270781 value_1191806815
key_523809058 value_1050929054
key_377239327 value_328354349
key_1169899658 value_1605417531
key_781525232 value_1378361308
key_1432841983 value_1846657355
key_470490135 value_1352590382
key_786503662 value_1832958464
key_164306850 value_346207299
key_634121930 value_1047909563
key_1494303822 value_604237177
key_1763883010 value_132156232
key_1562859741 value_703124176
key_1037296255 value_627444518
key_1852712109 value_317324322
key_2062553584 value_1942982890
key_1509131138 value_438878994
key_846428296 value_1886370465
key_767233343 value_2016327954
key_1344304348 value_1548758575
key_1247205614 value_629662683
key_1247932282 value_1717695749
key_1982253066 value_2034435945
key_1403170565 value_2146559916
key_233159596 value_2037292496
key_1046985832 value_1727463418
key_494046025 value_663385194
key_1859619650 value_2056905766
key_1366509371 value_749432258
key_536866636 value_1071737832
key_1066756580 value_451936572
key_867237074 value_428404070
key_890815566 value_1713665370
key_167290888 value_1658048909
key_1582509676 value_1511595236
key_1059323836 value_682231643
key_2141257920 value_159772471
key_252443744 value_1976027338
key_46724768 value_1655614310
key_1975103606 value_279884364
key_1545423158 value_874605790
key_2007347782 value_2039469183
key_1537990985 value_1719483785
key_1948891301 value_757016708
key_321432395 value_338274289
key_1828754540 value_1388188975
key_790210862 value_548507966
key_1816593046 value_1681026428
key_114689688 value_1983883934
key_1191591690 value_1697199364
key_1347995522 value_103431878
key_231947359 value_1341769794
key_263204349 value_484391104
key_1170313484 value_309929117
key_2140005414 value_997933443
key_589813481 value_1537944924
key_1872539233 value_449677616
key_1429930459 value_1263046570
key_21677753 value_1231338112
key_2020063278 value_343110148
key_1569612401 value_1701334170
key_1731299123 value_212339615
key_102358488 value_1400408521
key_1893366044 value_217048176
key_1236808807 value_937474086
key_1914247541 value_437320682
key_1040905964 value_2146194900
key_1779090476 value_1304110314
key_483102356 value_801920313
key_1614039431 value_475624122
key_1799853756 value_56369265
key_2013569046 value_1524909341
key_506046881 value_1296015857
key_640472264 value_527724634
key_379870321 value_513051894
key_870834782 value_1949482723
key_66902417 value_454650257
key_14338690 value_169260905
key_1855058779 value_1907704734
key_386309082 value_944383938
key_697695172 value_153072975
key_1381704620 value_1738601137
key_151784227 value_1013311449
key_895227803 value_634886584
key_1815231762 value_361783586
key_1110510706 value_1467601870
key_418152851 value_976596105
key_845027563 value_924199732
key_125128314 value_1485499827
key_1451924366 value_504998636
key_1998551722 value_175275500
key_306997711 value_2065454139
key_629925758 value_321336401
key_87231396 value_337500889
key_81557488 value_473540478
key_1281884827 value_779252660
key_626613453 value_516105800
key_370370149 value_778397681
key_1529417249 value_1265597952
key_1413284265 value_1197165363
key_1627381539 value_376311323
key_517283585 value_2045534390
key_1352907428 value_1362311148
key_822250475 value_1478035743
key_700327328 value_126691193
key_1983034379 value_551395402
key_301966694 value_142548442
key_469365893 value_931892452
key_463884843 value_556597289
key_1269393341 value_545442331
key_1030137768 value_403794520
key_1324694992 value_1656751221
key_919900320 value_1695065141
key_287665254 value_301833921
key_813179446 value_1700949519
key_1498999284 value_293077337
key_2077260843 value_2016282869
key_191128079 value_1282684623
key_1231110370 value_1013378554
key_613236718 value_1931437698
key_1140069748 value_448787449
key_335349452 value_1442036442
key_591335891 value_804715345
key_226445246 value_1055220735
key_1361312634 value_1495838587
key_1600663066 value_243966754
key_1899633107 value_777874410
key_1900717976 value_672049780
key_325455904 value_40899582
key_973883701 value_1138635350
key_1741849102 value_325399338
key_1431712687 value_1671626297
key_194198559 value_1622840766
key_806827272 value_1425308929
key_488735673 value_1420063991
key_1209262979 value_1628805421
key_1868851440 value_1544612431
key_923358215 value_312703684
key_201844128 value_1149803461
key_1367924419 value_1563156763
key_498158400 value_821103837
key_1807123517 value_250307859
key_1598978248 value_1560357845
key_922357639 value_1924434152
key_1601257428 value_1896241341
key_915585854 value_1195622882
key_74157031 value_199814893
key_719765531 value_268355590
key_1822655659 value_1526592803
key_1693664520 value_163907684
key_799173146 value_755443851
key_1792713105 value_520540939
key_152572635 value_568587672
key_833244623 value_354416763
key_1718391133 value_53685394
key_1917573526 value_69065885
key_874789231 value_1577213396
key_319373745 value_326283831
key_990087593 value_1241731384
key_103234335 value_443861373
key_990489077 value_1018820189
key_1639484255 value_1064646108
key_1218635082 value_211766138
key_1333001699 value_893807094
key_1738358942 value_879182571
key_1057714778 value_390048440
key_1634626422 value_702944236
key_910589379 value_1787199057
key_1271531908 value_1743834002
key_2141615821 value_842439394
key_1797519396 value_1911705699
key_911505279 value_524824980
key_1341435447 value_1230879024
key_851108811 value_184039393
key_325126761 value_954343147
key_627900766 value_1315615838
key_1973163336 value_119901374
key_232778299 value_1044314771
key_331667512 value_1565779998
key_1938121865 value_2070026454
key_297478921 value_848352995
key_312591247 value_1932105343
key_1551297231 value_1223180626
key_1571820753 value_675345492
key_819530981 value_1565952926
key_1517784886 value_469566729
key_1330174977 value_281806517
key_994391709 value_524126777
key_1512685542 value_1845500521
key_708166170 value_1837812303
key_652360020 value_1336066936
key_1005944493 value_478039708
key_1455968310 value_1238722792
key_1522354479 value_1787635823
key_657019142 value_1312992696
key_1710178629 value_954498063
key_13862044 value_2022769876
key_739119759 value_1565159275
key_1098466855 value_163456864
key_93021119 value_1917997836
key_1729409790 value_1610806005
key_240080917 value_912101119
key_1892612523 value_1234472627
key_1436227896 value_1257814417
key_932489500 value_2144394066
key_948143072 value_1584849520
key_1332977355 value_1954087565
key_2062889228 value_641462017
key_1045326710 value_1437760060
key_281614192 value_1702345852
key_603269108 value_1991792822
key_509360268 value_617131152
key_1867079050 value_1248480027
key_34806780 value_818062257
key_1411936891 value_127827899
key_588576445 value_993863033
key_1738633905 value_828657363
key_1905964152 value_1483762780
key_2063129990 value_1194708401
key_594093549 value_848135842
key_1191618819 value_1542236621
key_285501714 value_377112526
key_1348840538 value_200907294
key_1018574544 value_246683600
key_1638667354 value_1300188736
key_1949029453 value_94452815
key_1144497910 value_310906073
key_711583967 value_864093313
key_1559386100 value_746390747
key_1682155570 value_823839343
key_874218647 value_123248368
key_1817702376 value_465368904
key_951905731 value_1576182880
key_1949131684 value_867552073
key_623407633 value_395741585
key_1715687915 value_1815026453
key_1937978206 value_2001189629
key_44655331 value_1139335096
key_54613275 value_1063229875
key_1386018697 value_1693280630
key_215934964 value_1187564502
key_1787733445 value_1360432874
key_1498470575 value_351833764
key_77042539 value_910373027
key_1098224512 value_1759198110
key_1734212370 value_1972443159
key_1882446478 value_1404431098
key_290328415 value_686868561
key_833130330 value_91976451
key_1554420634 value_1456537964
key_487718036 value_1122624901
key_1124080769 value_278212594
key_976330882 value_1168736100
key_1417547690 value_1030944157
key_84482328 value_656082739
key_576741139 value_300417292
key_1843647241 value_216990936
key_1660850166 value_1194634168
key_568824701 value_1737892706
key_2105007195 value_1667049213
key_1349607168 value_1691735917
key_1492008724 value_1084569998
key_948683367 value_1782337139
key_1771438559 value_1781813698
key_1874313590 value_1178375545
key_1090868014 value_214547978
key_153516798 value_67465135
key_492760572 value_1129847680
key_1236201235 value_1910308262
key_13308189 value_1320683563
key_418907354 value_590049329
key_1621100855 value_115070947
key_807040265 value_1134467374
key_1309705116 value_1375864966
key_724876432 value_1267228663
key_895430531 value_2074483600
key_811480933 value_239955607
key_1011569950 value_1760164300
key_2022292746 value_635524861
key_1394494350 value_1749122688
key_1813900406 value_337878716
key_1963670666 value_1967417204
key_405343851 value_308947590
key_949781236 value_1641545087
key_71772205 value_963089425
key_814745002 value_490679559
key_1553138754 value_288362210
key_605750506 value_212695372
key_1422829584 value_1915455622
key_1588560338 value_222368
key_1035200638 value_336507222
key_2074705968 value_1846681571
key_576462829 value_938792270
key_1459362223 value_451271928
key_1574317131 value_706372926
key_52910968 value_1240733889
key_1044251642 value_2016581635
key_1060667445 value_1449595494
key_178045577 value_2010448681
key_943656933 value_249817782
key_826054458 value_1758401935
key_740497341 value_231709565
key_2046764145 value_1346247848
key_444404937 value_1322110081
key_1114219822 value_2032965275
key_1322332449 value_1936812
key_221988849 value_1249554769
key_1848618383 value_798451679
key_40863391 value_1160496959
key_1249723607 value_1615180522
key_1866869885 value_1302634575
key_708430763 value_763637879
key_1171732562 value_1769098208
key_65749725 value_1349778140
key_1632063241 value_1009406658
key_1599595922 value_310634052
key_620324946 value_192609616
key_542343617 value_519605443
key_1538857464 value_986748554
key_1841715525 value_505593638
key_872230181 value_1016564326
key_507530451 value_1094219031
key_118635448 value_208665186
key_1892670710 value_159498839
key_1369162145 value_994910669
key_1774679362 value_1088548382
key_150061596 value_335626477
key_1852186262 value_1321794159
key_2104724686 value_1917935987
key_524088651 value_1589304279
key_779858998 value_2123684573
key_1899938331 value_1400183944
key_168810541 value_294798300
key_1919789387 value_1707668005
key_1281546854 value_1614021264
key_65777996 value_6293388
key_483101943 value_573308447
key_1100512419 value_601737391
key_781973633 value_845699481
key_761236230 value_3652131
key_1840610150 value_388431944
key_1092200513 value_1990671746
key_724058422 value_796903127
key_1164982257 value_681299460
key_567355467 value_1689070908
key_123120091 value_1347214465
key_1665271834 value_2023058423
key_599914761 value_1834082375
key_170373075 value_372220500
key_1394266733 value_1451919930
key_1986241765 value_1460044729
key_1458213318 value_321860060
key_2033353176 value_411242089
key_923597451 value_667843161
key_1256941570 value_1684833681
key_671495292 value_950068072
key_2073265626 value_1763695806
key_793256170 value_649840400
key_413115285 value_1958238428
key_1331139860 value_980470752
key_1499825688 value_1454259951
key_180201569 value_1017613874
key_1329834726 value_780116330
key_704212602 value_1500207802
key_1152336831 value_2098479335
key_804644084 value_991094948
key_1411040416 value_115373754
key_1312955008 value_1296909944
key_526615843 value_89068811
key_1964753105 value_1783557413
key_1773902492 value_488764750
key_586141837 value_1699684470
key_104976908 value_1379398007
key_202041222 value_518092193
key_1190152787 value_1533181082
